x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
0.0;0.0;y;0.0;0.0;-0.58;-0.58;0.0;0.0
0.00;0.00;p;5.42;0.06;-0.58;0.00;9.80;0.00
9.80;0.10;p;6.45;0.00;-0.58;0.00;9.80;9.80
19.60;0.20;p;7.45;0.00;-0.58;0.00;9.80;19.60
29.40;0.30;p;8.45;0.00;-0.58;0.00;9.80;29.40
39.20;0.40;p;9.41;0.40;-0.58;0.00;9.80;39.20
49.00;0.50;y;0.06;0.00;-0.58;-4.39;0.00;49.00
49.00;0.50;p;4.74;0.22;-4.97;0.00;4.62;49.00
53.60;0.90;y;0.10;0.00;-4.97;-10.03;0.00;53.61
53.60;0.90;p;6.15;0.28;-15.00;0.00;5.80;53.61
59.20;2.40;y;0.10;0.01;-15.00;-11.14;0.00;59.25
59.20;2.40;p;6.69;0.25;-26.14;0.00;6.02;59.25
64.60;5.05;p;6.42;0.23;-26.14;0.00;6.02;64.80
70.00;7.70;y;0.22;0.12;-26.14;71.14;0.00;70.42
70.00;7.70;p;3.38;0.31;45.00;0.00;3.11;70.42
72.20;5.50;y;0.41;0.11;45.00;-140.84;0.00;72.41
72.20;5.50;p;9.00;0.87;-95.84;0.00;8.85;72.41
71.30;14.30;y;0.15;0.08;-95.84;-47.29;0.00;72.72
71.30;14.30;p;1.77;1.08;-143.13;0.00;1.50;72.72
70.10;15.20;y;0.16;0.04;-143.13;43.30;0.00;71.73
70.10;15.20;p;7.73;0.39;-99.83;0.00;7.61;71.73
68.80;22.70;y;0.05;0.01;-99.83;-1.48;0.00;72.45
68.80;22.70;p;1.63;0.76;-101.31;0.00;1.53;72.45
68.50;24.20;y;0.12;0.08;-101.31;20.06;0.00;72.65
68.50;24.20;p;1.42;0.48;-81.25;0.00;1.32;72.65
68.70;25.50;y;0.19;0.03;-81.25;-69.00;0.00;73.28
68.70;25.50;p;1.00;0.30;-150.26;0.00;0.81;73.28
68.00;25.90;y;0.12;0.03;-150.26;-30.75;0.00;72.77
68.00;25.90;p;5.81;0.21;178.99;0.00;5.70;72.77
62.30;25.80;y;0.26;0.00;178.99;-88.99;0.00;67.43
62.30;25.80;p;5.61;0.29;90.00;0.00;5.10;67.43
62.30;20.70;y;0.15;0.05;90.00;-37.48;0.00;65.65
62.30;20.70;p;4.10;0.56;52.52;0.00;3.78;65.65
64.60;17.70;y;0.32;0.00;52.52;127.48;0.00;66.98
64.60;17.70;p;0.66;0.02;-180.00;0.00;0.50;66.98
64.10;17.70;y;0.14;0.00;-180.00;-43.53;0.00;66.50
64.10;17.70;p;8.87;0.28;136.47;0.00;8.28;66.50
58.10;12.00;y;0.14;0.04;136.47;27.78;0.00;59.33
58.10;12.00;p;4.33;0.37;164.25;0.00;4.05;59.33
54.20;10.90;y;0.10;0.04;164.25;13.02;0.00;55.29
54.20;10.90;p;6.43;0.84;177.27;0.00;6.31;55.29
47.90;10.60;y;0.12;0.07;177.27;26.69;0.00;49.06
47.90;10.60;p;4.50;0.85;-156.04;0.00;3.94;49.06
44.30;12.20;y;0.28;0.16;-156.04;-104.33;0.00;45.95
44.30;12.20;p;6.08;0.02;99.63;0.00;5.68;45.95
43.35;6.60;p;6.08;0.50;99.63;0.00;5.68;43.85
42.40;1.00;y;0.35;0.02;99.63;122.36;0.00;42.41
42.40;1.00;p;1.51;0.11;-138.01;0.00;1.35;42.41
