x[m];y[m];operacao;area.total[m2];area.mato[m2];ang.abs[deg];ang.proa[deg];dist[m];rtl[m]
0.0;0.0;y;0.0;0.0;-0.58;-0.58;0.0;0.0
0.00;0.00;p;36.80;0.46;-0.58;0.00;49.00;0.00
49.00;0.50;y;0.79;0.15;-0.58;-89.42;0.00;49.00
49.00;0.50;p;0.11;0.00;-90.00;0.00;0.00;49.00
49.00;0.50;y;0.79;0.00;-90.00;-180.00;0.00;49.00
49.00;0.50;p;0.11;0.00;-90.00;0.00;0.00;49.00
49.00;0.50;y;0.79;0.00;-90.00;-180.00;0.00;49.00
49.00;0.50;p;0.11;0.00;-90.00;0.00;0.00;49.00
49.00;0.50;y;0.79;0.00;-90.00;-180.00;0.00;49.00
49.00;0.50;p;0.11;0.00;-90.00;0.00;0.00;49.00
49.00;0.50;y;0.79;0.00;-90.00;-180.00;0.00;49.00
49.00;0.50;p;0.11;0.00;-90.00;0.00;0.00;49.00
49.00;0.50;y;0.79;0.00;-90.00;-180.00;0.00;49.00
49.00;0.50;p;0.11;0.00;-90.00;0.00;0.00;49.00
49.00;0.50;y;0.79;0.00;-90.00;-180.00;0.00;49.00
49.00;0.50;p;0.11;0.00;-90.00;0.00;0.00;49.00
49.00;0.50;y;0.79;0.00;-90.00;-94.97;0.00;49.00
49.00;0.50;p;4.74;0.07;-4.97;0.00;4.62;49.00
53.60;0.90;y;0.79;0.03;-4.97;-10.03;0.00;53.61
53.60;0.90;p;6.15;0.25;-15.00;0.00;5.80;53.61
59.20;2.40;y;0.79;0.25;-15.00;-105.47;0.00;59.25
59.20;2.40;p;11.10;0.26;-120.47;0.00;9.86;59.25
54.20;10.90;y;0.79;0.23;-120.47;104.71;0.00;55.29
54.20;10.90;p;4.33;0.14;-15.75;0.00;4.05;55.29
58.10;12.00;y;0.79;0.15;-15.75;-27.78;0.00;59.33
58.10;12.00;p;8.87;0.22;-43.53;0.00;8.28;59.33
64.10;17.70;y;0.79;0.26;-43.53;43.53;0.00;66.50
64.10;17.70;p;0.66;0.01;0.00;0.00;0.50;66.50
64.60;17.70;y;0.79;0.01;0.00;-127.48;0.00;66.98
64.60;17.70;p;4.10;0.27;-127.48;0.00;3.78;66.98
62.30;20.70;y;0.79;0.22;-127.48;37.48;0.00;65.65
62.30;20.70;p;5.61;0.01;-90.00;0.00;5.10;65.65
62.30;25.80;y;0.79;0.04;-90.00;-96.34;0.00;67.43
62.30;25.80;p;2.83;0.84;173.66;0.00;2.72;67.43
59.60;25.50;y;0.79;0.30;173.66;87.43;0.00;64.83
59.60;25.50;p;5.28;1.21;-98.91;0.00;5.16;64.83
58.80;30.60;y;0.79;0.29;-98.91;10.46;0.00;66.29
58.80;30.60;p;3.81;1.12;-88.45;0.00;3.70;66.29
58.90;34.30;y;0.79;0.27;-88.45;-41.35;0.00;68.16
58.90;34.30;p;3.44;0.35;-129.81;0.00;3.12;68.16
56.90;36.70;y;0.79;0.22;-129.81;-140.19;0.00;67.71
56.90;36.70;p;2.53;0.23;90.00;0.00;2.10;67.71
56.90;34.60;y;0.79;0.13;90.00;-21.80;0.00;66.59
56.90;34.60;p;1.22;0.64;68.20;0.00;1.08;66.59
57.30;33.60;y;0.79;0.39;68.20;-17.49;0.00;66.42
57.30;33.60;p;1.59;0.47;50.71;0.00;1.42;66.42
58.20;32.50;y;0.79;0.08;50.71;100.23;0.00;66.66
58.20;32.50;p;1.25;0.11;150.95;0.00;1.03;66.66
57.30;32.00;y;0.79;0.08;150.95;82.18;0.00;65.63
57.30;32.00;p;0.66;0.02;-126.87;0.00;0.50;65.63
57.00;32.40;y;0.79;0.09;-126.87;-121.95;0.00;65.56
57.00;32.40;p;9.03;0.76;111.18;0.00;8.58;65.56
53.90;24.40;y;0.79;0.30;111.18;-60.47;0.00;59.17
53.90;24.40;p;1.59;0.26;50.71;0.00;1.42;59.17
54.80;23.30;y;0.79;0.02;50.71;70.25;0.00;59.55
54.80;23.30;p;2.05;0.05;120.96;0.00;1.75;59.55
53.90;21.80;y;0.79;0.00;120.96;87.65;0.00;58.14
53.90;21.80;p;1.50;0.60;-151.39;0.00;1.25;58.14
52.80;22.40;y;0.79;0.42;-151.39;36.37;0.00;57.36
52.80;22.40;p;1.95;0.52;-115.02;0.00;1.66;57.36
52.10;23.90;y;0.79;0.35;-115.02;-137.46;0.00;57.32
52.10;23.90;p;14.66;0.76;107.53;0.00;13.95;57.32
47.90;10.60;y;0.79;0.39;107.53;12.28;0.00;49.06
47.90;10.60;p;12.45;0.64;119.81;0.00;11.06;49.06
42.40;1.00;y;0.79;0.07;119.81;102.18;0.00;42.41
42.40;1.00;p;1.51;0.09;-138.01;0.00;1.35;42.41
41.40;1.90;y;0.79;0.01;-138.01;-92.18;0.00;41.44
41.40;1.90;p;0.91;0.24;129.81;0.00;0.78;41.44
40.90;1.30;y;0.79;0.16;129.81;98.06;0.00;40.92
40.90;1.30;p;3.09;0.22;-132.14;0.00;2.83;40.92
39.00;3.40;y;0.79;0.05;-132.14;113.70;0.00;39.15
39.00;3.40;p;0.43;0.00;-18.43;0.00;0.32;39.15
39.30;3.50;y;0.79;0.13;-18.43;-51.01;0.00;39.46
39.30;3.50;p;1.00;0.42;-69.44;0.00;0.85;39.46
39.60;4.30;y;0.79;0.28;-69.44;-54.25;0.00;39.83
39.60;4.30;p;0.50;0.08;-123.69;0.00;0.36;39.83
39.40;4.60;y;0.79;0.19;-123.69;8.91;0.00;39.67
39.40;4.60;p;1.70;0.70;-114.78;0.00;1.43;39.67
38.80;5.90;y;0.79;0.42;-114.78;65.90;0.00;39.25
38.80;5.90;p;8.97;0.47;-48.88;0.00;8.36;39.25
44.30;12.20;y;0.79;0.25;-48.88;-20.64;0.00;45.95
44.30;12.20;p;9.33;0.04;-69.52;0.00;8.86;45.95
47.40;20.50;y;0.79;0.03;-69.52;-20.48;0.00;51.64
47.40;20.50;p;10.61;0.11;-90.00;0.00;9.60;51.64
47.40;30.10;y;0.79;0.18;-90.00;7.77;0.00;56.15
47.40;30.10;p;2.33;0.14;-82.23;0.00;2.22;56.15
47.70;32.30;y;0.79;0.15;-82.23;-3.89;0.00;57.61
47.70;32.30;p;6.04;0.14;-86.12;0.00;5.91;57.61
48.10;38.20;y;0.79;0.15;-86.12;-11.14;0.00;61.42
48.10;38.20;p;10.44;0.74;-97.26;0.00;10.28;61.42
46.80;48.40;y;0.79;0.40;-97.26;6.48;0.00;67.33
46.80;48.40;p;7.41;0.49;-90.78;0.00;7.30;67.33
46.70;55.70;y;0.79;0.14;-90.78;-44.22;0.00;72.69
46.70;55.70;p;1.13;0.17;-135.00;0.00;0.99;72.69
46.00;56.40;y;0.79;0.12;-135.00;36.40;0.00;72.78
46.00;56.40;p;8.84;0.63;-98.60;0.00;8.70;72.78
44.70;65.00;y;0.79;0.29;-98.60;8.60;0.00;78.89
44.70;65.00;p;1.76;0.68;-90.00;0.00;1.40;78.89
44.70;66.40;y;0.79;0.20;-90.00;-124.99;0.00;80.04
44.70;66.40;p;6.85;0.22;145.01;0.00;6.10;80.04
39.70;62.90;y;0.79;0.08;145.01;16.29;0.00;74.38
39.70;62.90;p;7.26;0.65;161.30;0.00;6.86;74.38
33.20;60.70;y;0.79;0.34;161.30;73.77;0.00;69.19
33.20;60.70;p;8.60;0.21;-124.93;0.00;7.68;69.19
28.80;67.00;y;0.79;0.07;-124.93;-23.06;0.00;72.93
28.80;67.00;p;1.15;0.29;-147.99;0.00;0.94;72.93
28.00;67.50;y;0.79;0.19;-147.99;62.51;0.00;73.08
28.00;67.50;p;3.93;0.24;-85.49;0.00;3.81;73.08
28.30;71.30;y;0.79;0.24;-85.49;-20.95;0.00;76.71
28.30;71.30;p;6.74;0.65;-106.44;0.00;6.36;76.71
26.50;77.40;y;0.79;0.41;-106.44;8.31;0.00;81.81
26.50;77.40;p;2.94;0.28;-98.13;0.00;2.83;81.81
26.10;80.20;y;0.79;0.06;-98.13;-64.85;0.00;84.34
26.10;80.20;p;5.45;0.10;-162.98;0.00;5.12;84.34
21.20;81.70;y;0.79;0.03;-162.98;59.98;0.00;84.41
21.20;81.70;p;1.49;0.41;-102.99;0.00;1.33;84.41
20.90;83.00;y;0.79;0.35;-102.99;-11.45;0.00;85.59
20.90;83.00;p;1.45;0.07;-114.44;0.00;1.21;85.59
20.40;84.10;y;0.79;0.04;-114.44;-65.56;0.00;86.54
20.40;84.10;p;0.88;0.16;180.00;0.00;0.80;86.54
